,player,team,position,batting_average,obp,slugging_percentage,ops,games_played,at_bats,runs,hits,doubles,triples,homeruns,rbi,hit_by_pitch,walks,strikeouts,stolen_bases,caught_stealing,all_american
478,Chloe Smith,Villanova,,0.326,0.396,0.494,0.89,56,178,29,58,13,1,5,31,6,16,20,2,1,False
479,Megan Kern,Villanova,,0.326,0.412,0.571,0.983,56,175,28,57,16,0,9,31,2,25,28,2,1,False
480,Renee Abernathy,Kentucky,,0.326,0.42,0.701,1.121,56,144,38,47,7,1,15,51,4,20,32,5,1,False
481,Makayla Donahoo,Weber State,,0.326,0.369,0.421,0.79,50,95,29,31,5,2,0,8,0,7,23,12,0,False
482,Jenna Deang,Cleveland State,,0.326,0.373,0.386,0.759,46,132,23,43,6,1,0,0,1,12,0,0,0,False
483,Allison Ha,Princeton,,0.326,0.358,0.471,0.829,46,138,19,45,14,0,2,0,2,7,0,0,0,False
484,Jessica Garcia,Wichita State,,0.326,0.473,0.547,1.02,40,86,21,28,4,0,5,16,6,18,12,0,0,False
485,Caitlin Coker,Boston University,,0.326,0.406,0.542,0.948,57,190,45,62,15,4,6,24,8,18,16,12,4,False
486,Tyesha Tcake Cole,Alcorn State,,0.326,0.389,0.556,0.945,47,135,38,44,4,6,5,21,3,11,18,17,2,False
487,Harley Stokes,North Alabama,,0.326,0.392,0.705,1.097,60,190,50,62,13,1,19,56,4,17,41,6,1,False
488,Kendyl McKeough,Northern Kentucky,,0.326,0.4,0.686,1.086,56,172,32,56,15,1,15,40,0,22,26,3,1,False
489,Ashley Archuleta,New Mexico,,0.326,0.403,0.424,0.827,53,172,29,56,9,1,2,0,3,20,0,0,0,False
490,Jillian Hewes,Presbyterian,,0.326,0.405,0.528,0.933,51,144,22,47,11,0,6,4,2,17,0,0,0,False
491,Haley Cassidy,Hartford,,0.326,0.417,0.553,0.97,46,141,20,46,13,2,5,20,8,14,29,6,2,False
492,Anyce Harvey,Middle Tennessee,,0.326,0.35,0.47,0.82,42,132,14,43,11,1,2,28,2,4,17,6,1,False
493,Sharlize Palacios,Arizona,,0.326,0.441,0.709,1.15,61,172,46,56,4,1,20,64,2,36,33,0,0,False
494,Abbott Badgley,Bradley,,0.325,0.411,0.553,0.964,49,123,20,40,8,1,6,25,8,12,37,1,0,False
495,Taylor Hogan,Northern Iowa,,0.325,0.398,0.553,0.951,42,114,26,37,10,2,4,23,0,14,16,7,3,False
496,Samantha Hare,Niagara,,0.325,0.398,0.47,0.868,40,117,21,38,5,0,4,0,3,12,0,0,0,False
497,Haven Kirby,North Alabama,,0.325,0.368,0.586,0.954,60,169,31,55,10,2,10,36,1,11,15,12,1,False
498,Lexie Harper,North Alabama,,0.325,0.411,0.345,0.756,59,194,44,63,2,1,0,11,3,26,19,18,3,False
499,Cat Crenek,Texas State,,0.325,0.403,0.392,0.795,49,120,22,39,3,1,1,18,0,17,28,14,0,False
500,Madison Petrella,Albany,,0.325,0.374,0.517,0.891,41,120,14,39,5,0,6,28,3,7,26,0,0,False
501,Alex Boze,Missouri State,,0.325,0.448,0.684,1.132,45,117,18,38,9,0,11,31,5,21,27,0,0,False
502,Sam Mallinder,Northern Illinois,,0.325,0.368,0.533,0.901,41,120,22,39,7,0,6,28,0,10,14,3,1,False
503,Julia Jimenez,Utah,,0.325,0.397,0.578,0.975,54,166,27,54,10,1,10,52,2,19,10,4,1,False
504,Angelina Allen,Iowa State,,0.325,0.382,0.473,0.855,55,169,33,55,9,2,4,31,0,16,29,0,0,False
505,Kaitlyn Raymond,St. Thomas,,0.324,0.406,0.352,0.758,48,145,22,47,4,0,0,10,0,20,44,9,1,False
506,Delainey Bryant,Illinois State,,0.324,0.393,0.607,1.0,51,145,37,47,10,5,7,2,2,15,0,0,0,False
507,Bianca Worthy,Wagner,,0.324,0.321,0.387,0.708,44,111,15,36,2,1,1,13,0,0,12,1,0,False
508,Grace Nieto,Northwestern,,0.324,0.4,0.43,0.83,58,142,33,46,9,0,2,18,2,16,21,6,1,False
509,Zoe Jones,Wichita State,,0.324,0.404,0.659,1.063,52,170,52,55,12,0,15,51,6,17,30,2,0,False
510,Fiona Girardot,Wisconsin,,0.324,0.434,0.493,0.927,51,142,34,46,8,2,4,24,12,18,27,3,1,False
511,Jana Johns,Oklahoma,,0.324,0.471,0.662,1.133,61,142,47,46,9,0,13,1,18,24,0,0,0,False
512,Alyssa Podhurcak,BYU,,0.324,0.451,0.546,0.997,45,108,26,35,11,2,3,5,2,23,0,0,0,False
513,Makayla Packer,Auburn,,0.324,0.442,0.61,1.052,50,136,43,44,6,3,9,20,13,16,32,21,4,False
514,Kalena Shepherd,Utah Valley,,0.324,0.434,0.549,0.983,48,142,21,46,11,0,7,45,1,28,21,1,0,False
515,Haley Morgan,Tulsa,,0.324,0.429,0.486,0.915,48,142,32,46,6,1,5,1,11,18,0,0,0,False
516,Kelby Drews,Maine,,0.323,0.396,0.484,0.88,43,124,22,40,6,1,4,26,1,16,19,2,1,False
517,Icess Tresvik,North Carolina A&T,,0.323,0.359,0.589,0.948,44,124,22,40,3,0,10,3,0,7,0,0,0,False
518,Jillian Celis,San Diego State,,0.323,0.383,0.435,0.818,55,186,37,60,10,4,1,28,7,12,24,8,2,False
519,Kynzie Wrigley,Southeast Missouri State,,0.323,0.37,0.541,0.911,52,133,33,43,12,1,5,1,2,9,0,0,0,False
520,Kristen Blanchard,Long Island,,0.323,0.392,0.331,0.723,54,127,28,41,1,0,0,11,2,13,15,10,3,False
521,Morgan Medford,Tarleton,,0.323,0.393,0.385,0.778,55,192,48,62,6,3,0,7,1,21,20,2,0,False
522,Eliyah Flores,Boise State,,0.323,0.444,0.515,0.959,48,130,34,42,9,2,4,25,13,16,17,3,1,False
523,Riley White,Abilene Christian,,0.323,0.375,0.49,0.865,45,96,9,31,5,1,3,20,1,7,23,0,0,False
524,Sami Barnett,Connecticut,,0.323,0.399,0.477,0.876,56,155,34,50,6,0,6,23,4,17,34,8,3,False
525,Megan Mikami,Maryland,,0.323,0.378,0.385,0.763,50,161,37,52,5,1,1,18,9,7,15,30,0,False
526,Audrey LeClair,Michigan,,0.323,0.359,0.419,0.778,50,124,28,40,5,2,1,14,0,7,14,10,2,False
527,Dezianna Patmon,North Carolina A&T,,0.322,0.432,0.539,0.971,47,115,24,37,4,0,7,1,2,21,0,0,0,False
528,Ella Chancey,Charlotte,,0.322,0.4,0.572,0.972,58,180,36,58,6,3,11,38,3,21,36,4,1,False
529,Kristen Green,Belmont,,0.322,0.364,0.553,0.917,47,152,29,49,7,2,8,2,5,5,0,0,0,False
530,Cara McNulty,Saint Peter's,,0.322,0.346,0.45,0.796,55,171,18,55,8,1,4,32,5,3,16,7,0,False
531,Lynsey Tucker,Omaha,,0.322,0.377,0.396,0.773,46,149,27,48,9,1,0,17,2,11,13,16,0,False
532,Lexi Hastings,Connecticut,,0.322,0.379,0.441,0.82,56,177,36,57,10,4,1,28,0,17,43,28,6,False
533,Tayler Vitola,UNC Wilmington,,0.322,0.381,0.322,0.703,47,152,34,49,0,0,0,0,2,13,0,0,0,False
534,Tyra Parker,Campbell,,0.322,0.362,0.397,0.759,54,121,24,39,3,3,0,9,0,8,23,18,2,False
535,Sydnee Hebert,Stephen F. Austin,,0.322,0.484,0.643,1.127,55,143,30,46,7,0,13,1,2,43,0,0,0,False
536,Lexie Siwek,Indiana State,,0.322,0.369,0.376,0.745,52,149,15,48,6,1,0,24,0,11,17,5,2,False
537,Gaby Garcia,Stephen F. Austin,,0.322,0.422,0.52,0.942,57,171,36,55,10,0,8,1,17,15,0,0,0,False
538,Ashleigh Inae,Long Beach State,,0.321,0.399,0.393,0.792,50,140,21,45,10,0,0,14,4,14,11,2,1,False
539,Mackenzie Fitzgerald,Tennessee Tech,,0.321,0.362,0.497,0.859,54,193,52,62,7,3,7,1,0,13,0,0,0,False
540,Sydney Sherrill,Florida State,,0.321,0.488,0.586,1.074,61,162,49,52,16,0,9,2,2,51,0,0,0,True
541,Presley Leebrick,Lipscomb,,0.321,0.378,0.436,0.814,52,165,27,53,14,1,1,26,0,15,17,4,1,False
542,Halle Kisamore,Delaware,,0.321,0.404,0.522,0.926,45,134,27,43,12,0,5,27,8,12,11,4,3,False
543,Chelsea Alexander,Oklahoma State,,0.321,0.426,0.401,0.827,61,137,28,44,4,2,1,11,6,19,23,21,2,False
544,Emily Cazares,Arizona State,,0.321,0.387,0.554,0.941,49,112,29,36,2,0,8,0,0,12,0,0,0,False
545,Bre Peck,Virginia Tech,,0.32,0.364,0.588,0.952,52,153,33,49,8,0,11,34,1,10,23,3,0,False
546,Jessica Sellers,Nevada,,0.32,0.396,0.503,0.899,49,147,20,47,13,1,4,33,5,15,31,4,1,False
547,Jaylen Prichard,Eastern Illinois,,0.32,0.391,0.417,0.808,54,175,37,56,9,1,2,1,2,19,0,0,0,False
548,Kristian Edwards,Alcorn State,,0.32,0.342,0.503,0.845,46,147,27,47,3,9,2,24,1,5,10,28,0,False
549,Morgan Smith,Texas A&M,,0.32,0.421,0.465,0.886,59,172,38,55,8,1,5,28,6,24,37,4,0,False
550,Courtney Wilson,South Dakota,,0.32,0.362,0.372,0.734,53,172,30,55,4,1,1,20,1,11,25,8,1,False
551,Sami Reynolds,Washington,,0.32,0.389,0.497,0.886,50,153,44,49,12,0,5,23,3,16,22,11,0,False
552,Kelly Ryono,Illinois,,0.32,0.358,0.487,0.845,51,150,34,48,10,0,5,35,1,9,21,13,0,False
553,Emily Young,Stanford,,0.32,0.379,0.455,0.834,61,178,25,57,12,3,2,39,7,11,18,5,0,False
554,Karsen Mosley,Jacksonville State,,0.319,0.371,0.509,0.88,54,163,34,52,12,2,5,17,6,8,16,12,5,False
555,Madison Lanoux,USC Upstate,,0.319,0.372,0.422,0.794,57,166,37,53,12,1,1,24,2,13,25,7,0,False
556,Darby Trull,Virginia Tech,,0.319,0.444,0.466,0.91,51,116,26,37,7,2,2,13,2,25,13,3,0,False
557,Tara McElligott,Illinois-Chicago,,0.319,0.47,0.629,1.099,43,116,23,37,10,1,8,23,16,18,21,4,0,False
558,Morgan DeBord,Loyola Marymount,,0.319,0.371,0.476,0.847,54,166,34,53,8,3,4,38,4,12,27,14,5,False
559,Madison Hunsaker,Missouri State,,0.319,0.395,0.486,0.881,48,138,15,44,11,0,4,24,2,16,32,1,0,False
560,Hannah Eslick,George Washington,,0.319,0.377,0.444,0.821,53,160,26,51,17,0,1,24,1,14,16,0,2,False
561,Mackenzie Bennett,Stephen F. Austin,,0.319,0.361,0.613,0.974,45,119,14,38,11,0,8,2,4,6,0,0,0,False
562,Jaina Westphal,Valparaiso,,0.319,0.35,0.451,0.801,42,113,21,36,1,1,4,0,2,5,0,0,0,False
563,Faith Hegh,UAB,,0.318,0.356,0.43,0.786,48,151,26,48,11,3,0,18,4,5,9,3,2,False
564,Paige Cook,Mississippi State,,0.318,0.386,0.5,0.886,64,176,31,56,8,0,8,42,7,13,12,5,2,False
565,Deja Davis,Duke,,0.318,0.423,0.534,0.957,45,88,22,28,8,1,3,15,4,12,9,10,0,False
566,Chloe Evans,Minnesota,,0.318,0.42,0.611,1.031,54,157,35,50,11,1,11,1,3,26,0,0,0,False
567,Ashley Wood,Southern Illinois,,0.318,0.461,0.507,0.968,47,148,36,47,10,0,6,28,11,30,15,5,1,False
568,Denali Schappacher,UCF,,0.318,0.402,0.399,0.801,63,173,37,55,6,4,0,16,1,24,27,16,3,False
569,Olivia Viggiano,Seattle,,0.317,0.381,0.339,0.72,56,183,36,58,0,2,0,10,1,18,24,10,6,False
570,Sophia Marsalo,Princeton,,0.317,0.359,0.421,0.78,46,145,23,46,10,1,1,2,2,8,0,0,0,False
571,Destiny Cuevas,Florida A&M,,0.317,0.354,0.517,0.871,49,145,25,46,12,1,5,1,1,9,0,0,0,False
572,Ramsay Lopez,New Mexico State,,0.317,0.445,0.71,1.155,51,145,40,46,6,0,17,42,5,30,29,1,1,False
573,Brooke Wilmes,Missouri,,0.317,0.405,0.591,0.996,60,186,40,59,7,1,14,34,7,21,23,4,2,False
574,Sophie Jacquez,Utah,,0.317,0.356,0.484,0.84,50,126,13,40,12,3,1,22,4,4,6,2,0,False
575,Gianna Palmisano,Quinnipiac,,0.317,0.371,0.402,0.773,36,82,13,26,5,1,0,13,0,7,27,4,3,False
576,Victoria Ortiz,South Alabama,,0.317,0.418,0.75,1.168,44,120,28,38,12,2,12,1,6,15,0,0,0,False
577,Lauryn Yslava,SIU Edwardsville,,0.317,0.356,0.54,0.896,53,161,18,51,9,0,9,34,1,10,17,0,0,False
578,Taylor Rhinehart,Robert Morris,,0.316,0.364,0.506,0.87,51,158,14,50,11,2,5,31,2,11,41,0,0,False
579,Madie Green,Louisiana Tech,,0.316,0.4,0.677,1.077,52,133,34,42,9,0,13,39,2,20,39,2,0,False
580,Brooke Cannon,Lehigh,,0.316,0.38,0.387,0.767,52,155,22,49,8,0,1,16,0,16,31,15,2,False
581,Alana Mark,Southern,,0.316,0.399,0.537,0.936,50,136,22,43,7,1,7,23,1,19,21,2,0,False
582,Devyn Howard,Liberty,,0.316,0.429,0.497,0.926,62,187,53,59,10,0,8,6,0,37,0,0,0,False
583,Lath Freeman,Presbyterian,,0.316,0.389,0.568,0.957,51,155,28,49,12,0,9,3,2,17,0,0,0,False
584,Gabi Schaal,Elon,,0.316,0.356,0.624,0.98,39,117,27,37,9,0,9,38,0,10,19,4,0,False
585,Aliyah Binford,Baylor,,0.316,0.383,0.51,0.893,54,155,25,49,15,0,5,26,0,18,26,10,2,False
586,Caitlyn Brockway,Houston Baptist,,0.316,0.424,0.588,1.012,47,136,29,43,10,0,9,27,6,21,20,1,1,False
587,Alexis Wayland,Longwood,,0.315,0.338,0.543,0.881,58,184,26,58,12,3,8,38,1,8,22,0,0,False
588,Megan McMenemy,Ohio,,0.315,0.399,0.51,0.909,47,149,22,47,10,2,5,20,3,19,17,1,0,False
589,Mackense Greico,Maryland,,0.315,0.46,0.496,0.956,50,127,17,40,11,0,4,26,1,34,27,6,0,False
590,Audrey Garcia,Prairie View,,0.315,0.356,0.449,0.805,43,127,21,40,8,3,1,1,0,8,0,0,0,False
591,Danielle Diaz,Stetson,,0.315,0.373,0.37,0.743,56,165,18,52,6,0,1,21,0,17,16,6,1,False
592,Caitlyn Britton,Central Michigan,,0.315,0.392,0.601,0.993,51,143,23,45,8,0,11,39,2,18,48,0,1,False
593,Bailee Richardson,Georgia State,,0.315,0.368,0.56,0.928,54,168,29,53,9,1,10,1,2,12,0,0,0,False
594,Acacia Anders,California,,0.315,0.386,0.511,0.897,56,178,44,56,9,1,8,28,3,19,20,7,2,False
595,Michaela Jones,Maryland,,0.315,0.391,0.485,0.876,52,130,22,41,7,0,5,25,6,12,23,6,0,False
596,Sarah Schneider,Pennsylvania,,0.315,0.418,0.662,1.08,42,130,34,41,12,0,11,0,1,22,0,0,0,False
597,Megan Ward,Illinois,,0.315,0.368,0.404,0.772,56,178,35,56,16,0,0,25,1,14,15,8,6,False
598,Jaden Davis,North Carolina Central,,0.315,0.344,0.389,0.733,48,149,29,47,5,0,2,15,1,6,24,11,4,False
599,Alexis Barroso,Michigan State,,0.315,0.363,0.406,0.769,52,143,6,45,5,1,2,25,6,6,22,1,1,False
600,Karly Heath,Louisiana,,0.314,0.441,0.771,1.212,52,105,34,33,5,2,13,38,1,26,17,10,1,False
601,Ryleigh Bermea,Long Island,,0.314,0.405,0.462,0.867,54,156,28,49,11,0,4,34,4,22,19,5,1,False
602,Kaylee Lopez,McNeese,,0.314,0.401,0.424,0.825,50,118,11,37,10,0,1,31,2,18,18,2,2,False
603,Camryn Monteer,Bradley,,0.314,0.396,0.391,0.787,52,169,30,53,5,4,0,12,1,22,23,19,2,False
604,Peyton Bannon,Wisconsin,,0.314,0.4,0.495,0.895,48,105,26,33,4,3,3,25,6,11,22,4,3,False
605,Anna Wohlers,DePaul,,0.314,0.408,0.588,0.996,53,153,30,48,12,3,8,3,6,19,0,0,0,False
606,Rayna Cohen,UC Santa Barbara,,0.314,0.409,0.4,0.809,41,105,12,33,9,0,0,0,5,14,0,0,0,False
607,Amaya Harris,Middle Tennessee,,0.314,0.39,0.377,0.767,53,159,20,50,4,0,2,12,8,13,17,9,4,False
608,Faith Alexander,Kennesaw State,,0.314,0.375,0.373,0.748,43,153,26,48,5,2,0,23,1,14,9,11,4,False
609,Alyssa Wenzel,Northern Colorado,,0.314,0.344,0.407,0.751,46,118,19,37,7,2,0,3,2,5,0,0,0,False
610,Sierra Gilmore,Murray State,,0.314,0.403,0.537,0.94,59,175,38,55,15,0,8,5,1,25,0,0,0,False
611,Diamond Williams,Mercer,,0.314,0.386,0.514,0.9,50,140,24,44,11,1,5,33,1,16,28,0,0,False
612,Lauren Griffith,Oakland,,0.314,0.414,0.542,0.956,40,118,13,37,15,0,4,25,2,19,12,0,1,False
613,Kyra McFarland,Stony Brook,,0.313,0.368,0.387,0.755,47,150,26,47,7,2,0,15,3,10,11,11,1,False
614,Ava Fitzmaurice,Siena,,0.313,0.372,0.466,0.838,55,176,27,55,12,3,3,32,1,18,17,7,0,False
615,Sydney Jacobsen,Longwood,,0.313,0.341,0.519,0.86,56,160,26,50,7,1,8,27,5,3,23,1,0,False
616,Mary Pierce Barnes,Appalachian State,,0.313,0.358,0.46,0.818,55,176,28,55,9,1,5,36,1,12,17,3,1,False
617,Antuanett Dean,Cal State Fullerton,,0.313,0.326,0.367,0.693,56,128,22,40,3,2,0,0,0,3,0,0,0,False
618,Mila Rodriguez,Texas Southern,,0.313,0.347,0.42,0.767,39,112,21,35,6,0,2,8,0,6,20,0,0,False
619,Mary Claire Wilson,Liberty,,0.313,0.386,0.46,0.846,60,150,36,47,7,3,3,1,3,16,0,0,0,False
620,Riley Blampied,South Carolina,,0.313,0.376,0.494,0.87,52,160,29,50,15,1,4,28,4,14,34,6,1,False
621,Brooke Glanden,Delaware,,0.313,0.375,0.565,0.94,45,147,24,46,10,0,9,38,2,15,17,0,1,False
622,Sydney Gray,Nebraska,,0.313,0.399,0.549,0.948,57,182,32,57,8,1,11,44,0,26,25,1,0,False
623,Nelia Peralta,Auburn,,0.313,0.394,0.639,1.033,53,144,24,45,15,1,10,42,1,21,22,1,0,False
624,Kara Apato,Northern Illinois,,0.313,0.379,0.34,0.719,45,144,30,45,2,1,0,12,1,15,13,12,2,False
625,Nikki Barboza,Sacramento State,,0.313,0.371,0.403,0.774,54,144,19,45,4,0,3,2,5,12,0,0,0,False
626,Aleix Hudson,Bryant,,0.313,0.418,0.518,0.936,42,112,17,35,4,2,5,21,5,16,28,2,0,False
627,Julie Phelps,Montana,,0.313,0.4,0.42,0.82,47,131,20,41,6,1,2,22,1,18,28,4,0,False
628,Carli Spelhaug,Iowa State,,0.313,0.441,0.553,0.994,51,150,52,47,12,3,6,19,9,26,44,15,1,False
629,Grace Abbonizio,Drexel,,0.313,0.394,0.361,0.755,42,83,22,26,4,0,0,10,2,9,14,8,0,False
630,Celeste Delorenzo,USC Upstate,,0.312,0.386,0.439,0.825,56,157,39,49,11,0,3,32,5,14,19,6,0,False
631,Corinne Badger,Stony Brook,,0.312,0.377,0.716,1.093,47,141,33,44,7,1,16,44,6,10,26,3,1,False
632,Tristyn Trull,Tarleton,,0.312,0.343,0.439,0.782,52,157,25,49,11,3,1,26,0,8,17,1,0,False
633,Caroline Hudson,Liberty,,0.312,0.365,0.649,1.014,62,205,46,64,12,3,17,1,1,16,0,0,0,False
634,Sydnee Huff,Stanford,,0.312,0.382,0.446,0.828,60,186,35,58,10,6,1,19,5,16,21,4,0,False
635,Kennedy Searcy,UCF,,0.311,0.435,0.467,0.902,63,167,42,52,6,1,6,31,6,33,26,6,2,False
636,Delaney Taylor,Drake,,0.311,0.404,0.385,0.789,46,122,25,38,4,1,1,23,4,15,17,10,4,False
637,Bailie Ragsdale,Northwestern State,,0.311,0.354,0.329,0.683,48,164,17,51,3,0,0,8,2,9,15,5,2,False
638,Carli Campbell,Syracuse,,0.311,0.404,0.311,0.715,37,90,19,28,0,0,0,6,0,14,15,8,2,False
639,Emmy Wells,Northern Iowa,,0.311,0.445,0.836,1.281,46,122,24,38,7,0,19,51,2,29,31,0,0,False
640,Jordan Frank,Saint Francis (PA),,0.311,0.373,0.461,0.834,55,167,25,52,5,1,6,31,2,15,20,11,2,False
641,Shelby Smith,Seton Hall,,0.311,0.436,0.571,1.007,41,119,16,37,8,1,7,24,2,26,24,0,0,False
642,Kylie George,Texas State,,0.311,0.383,0.341,0.724,53,132,28,41,4,0,0,10,0,16,28,14,3,False
643,Brianna Castro,Buffalo,,0.311,0.405,0.515,0.92,45,132,22,41,13,1,4,22,4,17,20,3,1,False
644,Lindsey Baron,Monmouth,,0.311,0.404,0.5,0.904,49,148,22,46,15,2,3,16,2,21,26,5,3,False
645,Cylie Halvorson,South Dakota State,,0.311,0.354,0.667,1.021,54,177,40,55,6,0,19,46,4,9,38,1,0,False
646,Ana Gold,Duke,,0.311,0.399,0.637,1.036,53,135,38,42,12,1,10,36,6,15,34,13,2,False
647,Riley Zana,Coastal Carolina,,0.311,0.356,0.563,0.919,54,167,24,52,12,0,10,39,1,11,18,1,0,False
648,Danielle Davis,Illinois,,0.311,0.422,0.453,0.875,52,106,14,33,8,2,1,16,5,16,26,4,2,False
649,Kaitlyn Lim,Stanford,,0.311,0.339,0.524,0.863,60,164,26,51,6,4,7,40,1,7,33,6,4,False
650,Jordan Ridge,Western Kentucky,,0.31,0.413,0.517,0.93,51,145,35,45,10,1,6,33,5,21,32,7,3,False
651,Stacy Payton,Charlotte,,0.31,0.45,0.538,0.988,57,158,26,49,13,1,7,30,9,32,11,1,0,False
652,Rylea Smith,Kentucky,,0.31,0.348,0.341,0.689,52,129,26,40,4,0,0,10,0,8,16,2,3,False
653,Maci Fines,UC Santa Barbara,,0.31,0.358,0.439,0.797,54,171,26,53,10,6,0,1,4,10,0,0,0,False
654,Becca Vaillancourt,UMass Lowell,,0.31,0.413,0.444,0.857,48,142,14,44,13,0,2,18,9,18,16,1,0,False
655,Sydney Cox,Auburn,,0.31,0.399,0.535,0.934,57,129,28,40,10,2,5,26,1,18,34,1,0,False
656,Reagan Williamson,Bowling Green,,0.31,0.404,0.513,0.917,55,158,17,49,8,0,8,35,0,27,28,0,0,False
657,Jaeda McFarland,Maryland,,0.31,0.34,0.451,0.791,50,142,30,44,8,3,2,23,2,5,25,16,5,False
658,Keila Bosinger,UC San Diego,,0.31,0.362,0.532,0.894,55,171,31,53,11,3,7,30,3,12,22,11,3,False
659,Kasey Crawford,Dixie State,,0.309,0.39,0.511,0.901,51,139,31,43,9,2,5,22,2,17,35,10,2,False
660,Kennedi Bedell,Hampton,,0.309,0.321,0.333,0.654,52,162,25,50,2,1,0,8,0,3,29,17,4,False
661,Logan Hawker,UMBC,,0.309,0.34,0.5,0.84,35,94,11,29,3,0,5,21,0,5,10,0,0,False
662,Caroline Spacek,Ohio,,0.309,0.335,0.481,0.816,48,162,26,50,10,0,6,34,0,8,24,5,0,False
663,Marissa Nishihara,Saint Mary's,,0.309,0.349,0.397,0.746,47,136,21,42,4,4,0,12,1,8,24,5,2,False
664,Haley Updegraff,Fairfield,,0.309,0.389,0.468,0.857,47,139,34,43,11,1,3,12,3,15,25,10,1,False
665,Georgia Land,North Alabama,,0.309,0.38,0.66,1.04,57,162,30,50,3,0,18,53,0,21,19,0,0,False
666,Sarah Cancila,Saint Joseph's,,0.309,0.424,0.391,0.815,42,110,20,34,7,1,0,14,4,18,18,5,0,False
667,Stephanie Reed,Grand Canyon,,0.309,0.371,0.469,0.84,55,162,34,50,14,3,2,30,10,6,16,15,3,False
668,Jenessa Ullegue,San Jose State,,0.309,0.387,0.518,0.905,45,110,19,34,6,1,5,16,0,14,22,1,0,False
669,Riley Oakes,Florida Gulf Coast,,0.309,0.33,0.34,0.67,41,94,12,29,1,1,0,6,0,3,11,7,3,False
670,Bailey Enoch,Fordham,,0.309,0.436,0.532,0.968,51,139,22,43,4,3,7,28,6,26,44,2,0,False
671,Aliya Ewell,Morgan State,,0.309,0.387,0.523,0.91,46,149,34,46,8,6,4,25,2,17,21,15,3,False
672,Ellie Bailey,Texas Tech,,0.309,0.347,0.471,0.818,49,136,14,42,13,0,3,31,1,8,21,0,0,False
673,Cameryn Maykut,North Dakota State,,0.309,0.376,0.461,0.837,53,165,29,51,13,0,4,49,3,16,24,2,1,False
674,Madison Huskey,Washington,,0.309,0.347,0.651,0.998,55,175,34,54,9,3,15,50,1,11,21,6,1,False
675,Kailee Powell,Illinois,,0.309,0.383,0.451,0.834,56,162,24,50,15,1,2,23,3,17,29,4,0,False
676,Kendall Smith,Louisville,,0.309,0.422,0.586,1.008,52,152,19,47,13,1,9,40,4,27,29,0,0,False
677,Shannon Doherty,UCF,,0.308,0.459,0.5,0.959,63,172,39,53,10,1,7,36,17,32,27,10,0,False
678,Katie Hinkle,Long Island,,0.308,0.366,0.323,0.689,57,133,27,41,0,1,0,4,3,9,22,14,4,False
679,Tatianna Roman,Alabama A&M,,0.308,0.366,0.383,0.749,40,133,24,41,6,2,0,13,1,11,19,5,3,False
680,Alayna Harbaugh,Binghamton,,0.308,0.398,0.35,0.748,45,143,26,44,4,1,0,11,1,21,22,19,5,False
681,Jenna Carter,College of Charleston,,0.308,0.439,0.317,0.756,44,120,26,37,1,0,0,5,3,25,13,5,3,False
682,Valerie Cagle,Clemson,,0.308,0.371,0.584,0.955,59,185,34,57,10,1,13,44,2,17,39,0,1,True
683,KK Humphreys,Oregon,,0.308,0.353,0.514,0.867,50,146,29,45,12,0,6,26,2,8,27,8,0,False
684,Rachel Steffan,Buffalo,,0.308,0.44,0.639,1.079,46,133,36,41,6,4,10,29,9,23,39,17,2,False
685,Brittany Jackson,NC State,,0.308,0.442,0.492,0.934,55,130,31,40,10,1,4,23,4,28,23,5,1,False
686,Maddie Spell,George Washington,,0.308,0.426,0.471,0.897,46,104,20,32,5,0,4,22,2,21,36,0,0,False
687,Carson Armijo,Texas Tech,,0.308,0.442,0.442,0.884,43,104,19,32,5,0,3,18,6,19,32,0,3,False
688,Haley Taormina,George Mason,,0.308,0.382,0.533,0.915,45,120,23,37,12,0,5,25,4,11,29,4,3,False
689,Jade Sinness,Troy,,0.308,0.36,0.535,0.895,52,172,44,53,13,1,8,25,2,12,24,10,0,False
690,Sydney Soto,California Baptist,,0.308,0.397,0.436,0.833,50,117,26,36,11,2,0,15,5,13,20,6,1,False
691,Alyssa Woods,Mercer,,0.307,0.371,0.358,0.729,49,137,24,42,3,2,0,11,1,13,21,5,5,False
692,Kiana Cisneros,Long Island,,0.307,0.339,0.358,0.697,56,179,28,55,7,1,0,33,2,7,14,2,0,False
693,Camryn Wineinger,Memphis,,0.307,0.399,0.436,0.835,53,140,23,43,5,2,3,24,2,20,23,3,1,False
694,Charla Echols,Florida,,0.307,0.413,0.474,0.887,67,192,29,59,15,1,5,59,4,37,17,3,0,False
695,Kimberly Wert,Missouri,,0.307,0.41,0.651,1.061,60,166,28,51,6,0,17,52,4,27,26,0,0,False
696,Molly Gates,North Dakota State,,0.307,0.378,0.448,0.826,48,163,40,50,14,3,1,24,1,19,29,7,1,False
697,Cami Sellers,Montana,,0.307,0.402,0.553,0.955,47,150,25,46,10,0,9,34,5,21,21,1,0,False
698,Allison Bratek,Jacksonville,,0.307,0.371,0.496,0.867,46,137,22,42,11,3,3,23,2,12,15,3,0,False
699,Meghan Giordano,Hofstra,,0.307,0.396,0.521,0.917,47,140,30,43,9,0,7,32,1,21,15,4,0,False
700,Rachel Zingerman,Rhode Island,,0.307,0.366,0.414,0.78,45,140,20,43,8,2,1,16,0,13,22,10,4,False
701,Samantha Smith,Bradley,,0.306,0.362,0.478,0.84,52,157,35,48,15,0,4,29,6,9,25,1,1,False
