,player,team,position,batting_average,obp,slugging_percentage,ops,games_played,at_bats,runs,hits,doubles,triples,homeruns,rbi,hit_by_pitch,walks,strikeouts,stolen_bases,caught_stealing,all_american
25,Kayla Kowalik,Kentucky,,0.42,0.498,0.619,1.117,56,181,57,76,11,2,7,28,0,29,20,17,1,False
26,Makiya Thomas,Coastal Carolina,,0.419,0.49,0.64,1.13,44,136,36,57,12,0,6,17,2,17,6,14,4,False
27,Sara Mosley,Georgia,,0.418,0.473,0.764,1.237,57,182,51,76,12,0,17,53,1,20,11,1,1,True
28,Summer Johnson,USC Upstate,,0.416,0.463,0.621,1.084,58,161,29,67,9,0,8,36,4,10,9,8,1,False
29,Jaden Pone,Longwood,,0.416,0.445,0.474,0.919,57,190,36,79,3,4,0,14,3,7,21,26,9,False
30,Emma Schutter,Dayton,,0.414,0.465,0.48,0.945,46,152,26,63,4,0,2,14,0,16,19,23,2,False
31,Kayla Falterman,Louisiana,,0.414,0.453,0.505,0.958,52,99,29,41,5,2,0,11,0,7,7,11,2,False
32,Makena Smith,California,,0.412,0.477,0.771,1.248,43,131,32,54,6,1,13,39,1,17,13,3,0,True
33,Aeriyl Mass,Southeastern Louisiana,,0.41,0.481,0.579,1.06,56,178,44,73,14,2,4,34,4,22,19,33,4,False
34,Kindall Deramus,Alabama State,,0.41,0.456,0.483,0.939,54,178,45,73,7,3,0,27,0,16,11,43,5,False
35,Lexi Osowski,Austin Peay,,0.408,0.497,0.777,1.274,53,157,42,64,15,2,13,46,8,24,6,2,0,False
36,Rylie Boone,Oklahoma,,0.408,0.436,0.512,0.948,60,125,43,51,5,1,2,0,1,6,0,0,0,False
37,Huntyr Ava,BYU,,0.408,0.492,0.796,1.288,52,147,31,60,9,0,16,2,4,23,0,0,0,False
38,Janae Jefferson,Texas,,0.407,0.479,0.624,1.103,70,226,74,92,24,2,7,34,2,31,12,16,2,True
39,Nia Carter,Iowa,,0.405,0.454,0.466,0.92,52,163,26,66,4,3,0,0,4,14,0,0,0,False
40,Delanie Wisz,UCLA,,0.405,0.512,0.767,1.279,61,163,44,66,9,1,16,4,6,31,0,0,0,True
41,Haley Lee,Texas A&M,,0.405,0.543,0.762,1.305,59,168,54,68,15,0,15,45,1,50,27,6,1,True
42,Megan Delgadillo,Cal State Fullerton,,0.404,0.464,0.444,0.908,58,198,57,80,8,0,0,1,5,17,0,0,0,False
43,Faith Hensley,Ball State,,0.404,0.533,0.814,1.347,52,156,51,63,7,3,17,40,6,37,27,13,3,False
44,Andrea Howard,New Mexico,,0.403,0.543,0.875,1.418,53,144,40,58,8,3,18,4,1,43,0,0,0,False
