player,team,position,batting_average,obp,slugging_percentage,ops,games_played,at_bats,runs,hits,doubles,triples,homeruns,rbi,hit_by_pitch,walks,strikeouts,stolen_bases,caught_stealing
Audrey Garcia,Prairie View,,0.315,0.356,0.449,0.805,43,127,21,40,8,3,1,1,0,8,0,0,0
Danielle Diaz,Stetson,,0.315,0.373,0.37,0.743,56,165,18,52,6,0,1,21,0,17,16,6,1
Caitlyn Britton,Central Michigan,,0.315,0.392,0.601,0.993,51,143,23,45,8,0,11,39,2,18,48,0,1
Bailee Richardson,Georgia State,,0.315,0.368,0.56,0.928,54,168,29,53,9,1,10,1,2,12,0,0,0
Acacia Anders,California,,0.315,0.386,0.511,0.897,56,178,44,56,9,1,8,28,3,19,20,7,2
Michaela Jones,Maryland,,0.315,0.391,0.485,0.876,52,130,22,41,7,0,5,25,6,12,23,6,0
Sarah Schneider,Pennsylvania,,0.315,0.418,0.662,1.08,42,130,34,41,12,0,11,0,1,22,0,0,0
Megan Ward,Illinois,,0.315,0.368,0.404,0.772,56,178,35,56,16,0,0,25,1,14,15,8,6
Jaden Davis,North Carolina Central,,0.315,0.344,0.389,0.733,48,149,29,47,5,0,2,15,1,6,24,11,4
Alexis Barroso,Michigan State,,0.315,0.363,0.406,0.769,52,143,6,45,5,1,2,25,6,6,22,1,1
Karly Heath,Louisiana,,0.314,0.441,0.771,1.212,52,105,34,33,5,2,13,38,1,26,17,10,1
Ryleigh Bermea,Long Island,,0.314,0.405,0.462,0.867,54,156,28,49,11,0,4,34,4,22,19,5,1
Kaylee Lopez,McNeese,,0.314,0.401,0.424,0.825,50,118,11,37,10,0,1,31,2,18,18,2,2
Camryn Monteer,Bradley,,0.314,0.396,0.391,0.787,52,169,30,53,5,4,0,12,1,22,23,19,2
Peyton Bannon,Wisconsin,,0.314,0.4,0.495,0.895,48,105,26,33,4,3,3,25,6,11,22,4,3
Anna Wohlers,DePaul,,0.314,0.408,0.588,0.996,53,153,30,48,12,3,8,3,6,19,0,0,0
Rayna Cohen,UC Santa Barbara,,0.314,0.409,0.4,0.809,41,105,12,33,9,0,0,0,5,14,0,0,0
Amaya Harris,Middle Tennessee,,0.314,0.39,0.377,0.767,53,159,20,50,4,0,2,12,8,13,17,9,4
Faith Alexander,Kennesaw State,,0.314,0.375,0.373,0.748,43,153,26,48,5,2,0,23,1,14,9,11,4
Alyssa Wenzel,Northern Colorado,,0.314,0.344,0.407,0.751,46,118,19,37,7,2,0,3,2,5,0,0,0
Sierra Gilmore,Murray State,,0.314,0.403,0.537,0.94,59,175,38,55,15,0,8,5,1,25,0,0,0
Diamond Williams,Mercer,,0.314,0.386,0.514,0.9,50,140,24,44,11,1,5,33,1,16,28,0,0
Lauren Griffith,Oakland,,0.314,0.414,0.542,0.956,40,118,13,37,15,0,4,25,2,19,12,0,1
Kyra McFarland,Stony Brook,,0.313,0.368,0.387,0.755,47,150,26,47,7,2,0,15,3,10,11,11,1
Ava Fitzmaurice,Siena,,0.313,0.372,0.466,0.838,55,176,27,55,12,3,3,32,1,18,17,7,0
Sydney Jacobsen,Longwood,,0.313,0.341,0.519,0.86,56,160,26,50,7,1,8,27,5,3,23,1,0
Mary Pierce Barnes,Appalachian State,,0.313,0.358,0.46,0.818,55,176,28,55,9,1,5,36,1,12,17,3,1
Antuanett Dean,Cal State Fullerton,,0.313,0.326,0.367,0.693,56,128,22,40,3,2,0,0,0,3,0,0,0
Mila Rodriguez,Texas Southern,,0.313,0.347,0.42,0.767,39,112,21,35,6,0,2,8,0,6,20,0,0
Mary Claire Wilson,Liberty,,0.313,0.386,0.46,0.846,60,150,36,47,7,3,3,1,3,16,0,0,0
Riley Blampied,South Carolina,,0.313,0.376,0.494,0.87,52,160,29,50,15,1,4,28,4,14,34,6,1
Brooke Glanden,Delaware,,0.313,0.375,0.565,0.94,45,147,24,46,10,0,9,38,2,15,17,0,1
Sydney Gray,Nebraska,,0.313,0.399,0.549,0.948,57,182,32,57,8,1,11,44,0,26,25,1,0
Nelia Peralta,Auburn,,0.313,0.394,0.639,1.033,53,144,24,45,15,1,10,42,1,21,22,1,0
Kara Apato,Northern Illinois,,0.313,0.379,0.34,0.719,45,144,30,45,2,1,0,12,1,15,13,12,2
Nikki Barboza,Sacramento State,,0.313,0.371,0.403,0.774,54,144,19,45,4,0,3,2,5,12,0,0,0
Aleix Hudson,Bryant,,0.313,0.418,0.518,0.936,42,112,17,35,4,2,5,21,5,16,28,2,0
Julie Phelps,Montana,,0.313,0.4,0.42,0.82,47,131,20,41,6,1,2,22,1,18,28,4,0
Carli Spelhaug,Iowa State,,0.313,0.441,0.553,0.994,51,150,52,47,12,3,6,19,9,26,44,15,1
Grace Abbonizio,Drexel,,0.313,0.394,0.361,0.755,42,83,22,26,4,0,0,10,2,9,14,8,0
Celeste Delorenzo,USC Upstate,,0.312,0.386,0.439,0.825,56,157,39,49,11,0,3,32,5,14,19,6,0
Corinne Badger,Stony Brook,,0.312,0.377,0.716,1.093,47,141,33,44,7,1,16,44,6,10,26,3,1
Tristyn Trull,Tarleton,,0.312,0.343,0.439,0.782,52,157,25,49,11,3,1,26,0,8,17,1,0
Caroline Hudson,Liberty,,0.312,0.365,0.649,1.014,62,205,46,64,12,3,17,1,1,16,0,0,0
Sydnee Huff,Stanford,,0.312,0.382,0.446,0.828,60,186,35,58,10,6,1,19,5,16,21,4,0
Kennedy Searcy,UCF,,0.311,0.435,0.467,0.902,63,167,42,52,6,1,6,31,6,33,26,6,2
Delaney Taylor,Drake,,0.311,0.404,0.385,0.789,46,122,25,38,4,1,1,23,4,15,17,10,4
Bailie Ragsdale,Northwestern State,,0.311,0.354,0.329,0.683,48,164,17,51,3,0,0,8,2,9,15,5,2
Carli Campbell,Syracuse,,0.311,0.404,0.311,0.715,37,90,19,28,0,0,0,6,0,14,15,8,2
Emmy Wells,Northern Iowa,,0.311,0.445,0.836,1.281,46,122,24,38,7,0,19,51,2,29,31,0,0
Jordan Frank,Saint Francis (PA),,0.311,0.373,0.461,0.834,55,167,25,52,5,1,6,31,2,15,20,11,2
Shelby Smith,Seton Hall,,0.311,0.436,0.571,1.007,41,119,16,37,8,1,7,24,2,26,24,0,0
Kylie George,Texas State,,0.311,0.383,0.341,0.724,53,132,28,41,4,0,0,10,0,16,28,14,3
Brianna Castro,Buffalo,,0.311,0.405,0.515,0.92,45,132,22,41,13,1,4,22,4,17,20,3,1
Lindsey Baron,Monmouth,,0.311,0.404,0.5,0.904,49,148,22,46,15,2,3,16,2,21,26,5,3
Cylie Halvorson,South Dakota State,,0.311,0.354,0.667,1.021,54,177,40,55,6,0,19,46,4,9,38,1,0
Ana Gold,Duke,,0.311,0.399,0.637,1.036,53,135,38,42,12,1,10,36,6,15,34,13,2
Riley Zana,Coastal Carolina,,0.311,0.356,0.563,0.919,54,167,24,52,12,0,10,39,1,11,18,1,0
Danielle Davis,Illinois,,0.311,0.422,0.453,0.875,52,106,14,33,8,2,1,16,5,16,26,4,2
Kaitlyn Lim,Stanford,,0.311,0.339,0.524,0.863,60,164,26,51,6,4,7,40,1,7,33,6,4
Jordan Ridge,Western Kentucky,,0.31,0.413,0.517,0.93,51,145,35,45,10,1,6,33,5,21,32,7,3
Stacy Payton,Charlotte,,0.31,0.45,0.538,0.988,57,158,26,49,13,1,7,30,9,32,11,1,0
Rylea Smith,Kentucky,,0.31,0.348,0.341,0.689,52,129,26,40,4,0,0,10,0,8,16,2,3
Maci Fines,UC Santa Barbara,,0.31,0.358,0.439,0.797,54,171,26,53,10,6,0,1,4,10,0,0,0
Becca Vaillancourt,UMass Lowell,,0.31,0.413,0.444,0.857,48,142,14,44,13,0,2,18,9,18,16,1,0
Sydney Cox,Auburn,,0.31,0.399,0.535,0.934,57,129,28,40,10,2,5,26,1,18,34,1,0
Reagan Williamson,Bowling Green,,0.31,0.404,0.513,0.917,55,158,17,49,8,0,8,35,0,27,28,0,0
Jaeda McFarland,Maryland,,0.31,0.34,0.451,0.791,50,142,30,44,8,3,2,23,2,5,25,16,5
Keila Bosinger,UC San Diego,,0.31,0.362,0.532,0.894,55,171,31,53,11,3,7,30,3,12,22,11,3
Kasey Crawford,Dixie State,,0.309,0.39,0.511,0.901,51,139,31,43,9,2,5,22,2,17,35,10,2
Kennedi Bedell,Hampton,,0.309,0.321,0.333,0.654,52,162,25,50,2,1,0,8,0,3,29,17,4
Logan Hawker,UMBC,,0.309,0.34,0.5,0.84,35,94,11,29,3,0,5,21,0,5,10,0,0
Caroline Spacek,Ohio,,0.309,0.335,0.481,0.816,48,162,26,50,10,0,6,34,0,8,24,5,0
Marissa Nishihara,Saint Mary's,,0.309,0.349,0.397,0.746,47,136,21,42,4,4,0,12,1,8,24,5,2
Haley Updegraff,Fairfield,,0.309,0.389,0.468,0.857,47,139,34,43,11,1,3,12,3,15,25,10,1
Georgia Land,North Alabama,,0.309,0.38,0.66,1.04,57,162,30,50,3,0,18,53,0,21,19,0,0
Sarah Cancila,Saint Joseph's,,0.309,0.424,0.391,0.815,42,110,20,34,7,1,0,14,4,18,18,5,0
Stephanie Reed,Grand Canyon,,0.309,0.371,0.469,0.84,55,162,34,50,14,3,2,30,10,6,16,15,3
Jenessa Ullegue,San Jose State,,0.309,0.387,0.518,0.905,45,110,19,34,6,1,5,16,0,14,22,1,0
Riley Oakes,Florida Gulf Coast,,0.309,0.33,0.34,0.67,41,94,12,29,1,1,0,6,0,3,11,7,3
Bailey Enoch,Fordham,,0.309,0.436,0.532,0.968,51,139,22,43,4,3,7,28,6,26,44,2,0
Aliya Ewell,Morgan State,,0.309,0.387,0.523,0.91,46,149,34,46,8,6,4,25,2,17,21,15,3
Ellie Bailey,Texas Tech,,0.309,0.347,0.471,0.818,49,136,14,42,13,0,3,31,1,8,21,0,0
Cameryn Maykut,North Dakota State,,0.309,0.376,0.461,0.837,53,165,29,51,13,0,4,49,3,16,24,2,1
Madison Huskey,Washington,,0.309,0.347,0.651,0.998,55,175,34,54,9,3,15,50,1,11,21,6,1
Kailee Powell,Illinois,,0.309,0.383,0.451,0.834,56,162,24,50,15,1,2,23,3,17,29,4,0
Kendall Smith,Louisville,,0.309,0.422,0.586,1.008,52,152,19,47,13,1,9,40,4,27,29,0,0
Shannon Doherty,UCF,,0.308,0.459,0.5,0.959,63,172,39,53,10,1,7,36,17,32,27,10,0
Katie Hinkle,Long Island,,0.308,0.366,0.323,0.689,57,133,27,41,0,1,0,4,3,9,22,14,4
Tatianna Roman,Alabama A&M,,0.308,0.366,0.383,0.749,40,133,24,41,6,2,0,13,1,11,19,5,3
Alayna Harbaugh,Binghamton,,0.308,0.398,0.35,0.748,45,143,26,44,4,1,0,11,1,21,22,19,5
Jenna Carter,College of Charleston,,0.308,0.439,0.317,0.756,44,120,26,37,1,0,0,5,3,25,13,5,3
Valerie Cagle,Clemson,,0.308,0.371,0.584,0.955,59,185,34,57,10,1,13,44,2,17,39,0,1
KK Humphreys,Oregon,,0.308,0.353,0.514,0.867,50,146,29,45,12,0,6,26,2,8,27,8,0
Rachel Steffan,Buffalo,,0.308,0.44,0.639,1.079,46,133,36,41,6,4,10,29,9,23,39,17,2
Brittany Jackson,NC State,,0.308,0.442,0.492,0.934,55,130,31,40,10,1,4,23,4,28,23,5,1
Maddie Spell,George Washington,,0.308,0.426,0.471,0.897,46,104,20,32,5,0,4,22,2,21,36,0,0
Carson Armijo,Texas Tech,,0.308,0.442,0.442,0.884,43,104,19,32,5,0,3,18,6,19,32,0,3
Haley Taormina,George Mason,,0.308,0.382,0.533,0.915,45,120,23,37,12,0,5,25,4,11,29,4,3
Jade Sinness,Troy,,0.308,0.36,0.535,0.895,52,172,44,53,13,1,8,25,2,12,24,10,0
Sydney Soto,California Baptist,,0.308,0.397,0.436,0.833,50,117,26,36,11,2,0,15,5,13,20,6,1
Alyssa Woods,Mercer,,0.307,0.371,0.358,0.729,49,137,24,42,3,2,0,11,1,13,21,5,5
Kiana Cisneros,Long Island,,0.307,0.339,0.358,0.697,56,179,28,55,7,1,0,33,2,7,14,2,0
Camryn Wineinger,Memphis,,0.307,0.399,0.436,0.835,53,140,23,43,5,2,3,24,2,20,23,3,1
Charla Echols,Florida,,0.307,0.413,0.474,0.887,67,192,29,59,15,1,5,59,4,37,17,3,0
Kimberly Wert,Missouri,,0.307,0.41,0.651,1.061,60,166,28,51,6,0,17,52,4,27,26,0,0
Molly Gates,North Dakota State,,0.307,0.378,0.448,0.826,48,163,40,50,14,3,1,24,1,19,29,7,1
Cami Sellers,Montana,,0.307,0.402,0.553,0.955,47,150,25,46,10,0,9,34,5,21,21,1,0
Allison Bratek,Jacksonville,,0.307,0.371,0.496,0.867,46,137,22,42,11,3,3,23,2,12,15,3,0
Meghan Giordano,Hofstra,,0.307,0.396,0.521,0.917,47,140,30,43,9,0,7,32,1,21,15,4,0
Rachel Zingerman,Rhode Island,,0.307,0.366,0.414,0.78,45,140,20,43,8,2,1,16,0,13,22,10,4
Samantha Smith,Bradley,,0.306,0.362,0.478,0.84,52,157,35,48,15,0,4,29,6,9,25,1,1
Jaylyn Davis,Prairie View,,0.306,0.411,0.59,1.001,49,134,25,41,4,2,10,1,3,21,0,0,0
Gianna Fazzolari,Canisius,,0.306,0.381,0.503,0.884,49,147,22,45,5,0,8,38,5,14,23,0,0
Hailey Jones,North Alabama,,0.306,0.343,0.449,0.792,60,196,42,60,14,1,4,30,4,9,12,6,1
Sara Vanderford,Texas State,,0.306,0.413,0.518,0.931,57,170,34,52,15,0,7,38,2,29,25,8,2
Juju Sargent,Cal Poly,,0.306,0.361,0.438,0.799,46,121,13,37,9,2,1,1,0,11,0,0,0
Kiannah Pierce,North Carolina,,0.306,0.342,0.417,0.759,42,108,5,33,8,2,0,19,1,5,14,1,0
Jaymi Steward,Cal State Northridge,,0.306,0.389,0.471,0.86,54,170,32,52,10,0,6,27,9,14,34,18,3
Bella Pantoja,Massachusetts,,0.306,0.368,0.387,0.755,51,173,31,53,7,2,1,1,5,12,0,0,0
Julia Cottrill,Oklahoma State,,0.306,0.413,0.613,1.026,51,124,29,38,5,0,11,31,5,19,16,1,1
Sam Freeland,Marist,,0.306,0.358,0.344,0.702,53,160,23,49,2,2,0,18,2,13,30,10,1
Jaycee Ruberti,Ohio State,,0.306,0.337,0.429,0.766,51,147,37,45,8,2,2,1,0,12,0,0,0
Keahilele Mattson,Fresno State,,0.305,0.437,0.532,0.969,49,141,31,43,11,3,5,23,4,29,27,5,0
Paris Woods,Syracuse,,0.305,0.359,0.4,0.759,44,95,22,29,3,3,0,11,2,6,28,6,3
Madison Kahwaty,Seattle,,0.305,0.413,0.539,0.952,53,154,40,47,10,1,8,33,16,13,20,4,1
Hannah Slike,Boston College,,0.305,0.345,0.494,0.839,47,154,21,47,13,2,4,23,3,7,17,3,1
Alison Seng,Boise State,,0.305,0.373,0.624,0.997,50,141,30,43,12,0,11,44,6,11,20,0,0
Alyssa Chavez,Georgetown,,0.305,0.341,0.602,0.943,43,128,24,39,6,1,10,31,0,8,14,1,1
KJ Murphy,UT Arlington,,0.305,0.39,0.483,0.873,49,151,33,46,9,0,6,26,0,21,24,5,1
Tyler Goldstein,UC Santa Barbara,,0.305,0.338,0.389,0.727,54,131,7,40,6,1,1,2,2,7,0,0,0
Lea White,UMass Lowell,,0.305,0.351,0.418,0.769,48,141,24,43,7,0,3,19,0,10,21,6,1
Jaiden Bryant,Akron,,0.305,0.397,0.61,1.007,44,105,22,32,6,1,8,21,3,13,32,3,1
Caroline Nichols,South Alabama,,0.305,0.376,0.373,0.749,45,118,24,36,2,3,0,1,0,14,0,0,0
Victoria Rodebaugh,Jacksonville,,0.305,0.461,0.458,0.919,45,118,23,36,6,0,4,20,14,20,19,3,1
Grace Lueke,SIU Edwardsville,,0.305,0.411,0.61,1.021,46,141,25,43,7,0,12,38,1,25,44,0,0
Maddie Wilkes,Army,,0.304,0.35,0.446,0.796,41,112,10,34,10,0,2,18,2,7,18,1,0
AnneMarie Murphy,San Diego State,,0.304,0.338,0.372,0.71,53,148,20,45,4,0,2,26,3,6,15,3,1
Ciara Granado,Long Island,,0.304,0.344,0.38,0.724,56,171,19,52,13,0,0,25,1,11,15,2,0
Aubrey Reed,Toledo,,0.304,0.424,0.545,0.969,45,112,23,34,4,1,7,27,7,18,24,4,0
McKenzie Bump,Ohio State,,0.304,0.331,0.461,0.792,41,115,22,35,8,2,2,1,1,5,0,0,0
Kalei Harding,Florida State,,0.304,0.379,0.609,0.988,61,184,46,56,11,0,15,4,1,21,0,0,0
Nicole Rivait,Bucknell,,0.304,0.353,0.449,0.802,45,138,17,42,9,1,3,15,2,9,20,2,0
Reese Mattley,UC Davis,,0.304,0.38,0.375,0.755,45,112,18,34,6,1,0,12,0,15,33,2,0
Toni Camarillo,Bryant,,0.304,0.37,0.348,0.718,37,115,20,35,5,0,0,13,2,10,7,10,1
EJ Bankson,George Mason,,0.304,0.388,0.419,0.807,48,148,23,45,7,2,2,23,0,21,22,3,2
Janai Conklin,Georgia Southern,,0.304,0.368,0.634,1.002,43,112,17,34,6,2,9,24,3,9,27,4,2
Kalei Christensen,North Texas,,0.304,0.376,0.583,0.959,53,168,36,51,12,1,11,48,6,14,24,12,1
Ameryn Humble,Drexel,,0.304,0.368,0.366,0.734,40,112,19,34,5,1,0,19,0,12,7,0,0
Mailee Newman,Idaho State,,0.304,0.379,0.496,0.875,51,125,11,38,3,0,7,5,9,6,0,0,0
Brittany Ford,Indiana,,0.304,0.356,0.593,0.949,48,135,15,41,9,0,10,2,2,9,0,0,0
Megan Hodum,Austin Peay,,0.303,0.351,0.36,0.711,53,178,42,54,2,4,0,12,2,11,12,18,3
Tyler Armistead,UAB,,0.303,0.388,0.372,0.76,49,145,31,44,5,1,1,11,4,18,17,8,0
Addie Wray,Appalachian State,,0.303,0.343,0.355,0.698,55,155,18,47,4,2,0,11,0,10,28,9,2
Alli Richmond,Binghamton,,0.303,0.323,0.545,0.868,45,145,21,44,15,1,6,27,2,4,27,3,0
Mackenzie Lake,Towson,,0.303,0.357,0.469,0.826,47,145,20,44,7,1,5,22,5,7,10,2,1
Lauren Mills,Wichita State,,0.303,0.414,0.73,1.144,47,122,22,37,4,0,16,51,2,21,35,0,0
Jenna Helberg,College of Charleston,,0.303,0.413,0.5,0.913,47,132,14,40,11,0,5,23,10,16,11,1,0
DeAsia Lowther,South Carolina State,,0.303,0.352,0.47,0.822,30,66,4,20,2,0,3,11,1,4,11,0,0
Tayli Filla,Florida Gulf Coast,,0.303,0.341,0.471,0.812,48,119,11,36,4,2,4,13,0,7,32,6,0
Jordan Fabian,South Carolina,,0.303,0.471,0.555,1.026,56,155,47,47,10,1,9,36,10,42,38,17,3
Katie Dack,Texas A&M,,0.303,0.419,0.697,1.116,57,119,25,36,6,1,13,40,0,26,40,2,2
Lauren LaHood,Santa Clara,,0.303,0.329,0.408,0.737,41,76,18,23,3,1,1,0,1,4,0,0,0
Maddie Latta,Yale,,0.303,0.367,0.576,0.943,33,99,16,30,7,1,6,13,2,8,15,0,1
Ally Kurland,Penn State,,0.303,0.361,0.674,1.035,54,178,29,54,18,0,16,44,0,16,33,0,0
Delaney Cumbie,UNC Greensboro,,0.303,0.473,0.664,1.137,53,152,48,46,7,0,16,33,22,30,23,0,1
Chyenne Factor,Oklahoma State,,0.303,0.435,0.52,0.955,62,152,31,46,3,0,10,35,8,29,26,1,1
Taylor Minnick,Indiana,,0.303,0.412,0.535,0.947,45,99,18,30,8,0,5,0,4,15,0,0,0
Rachael McKinney,Alabama A&M,,0.302,0.37,0.472,0.842,36,106,12,32,9,0,3,24,2,10,16,0,1
Kylee Sanders,Northern Iowa,,0.302,0.382,0.46,0.842,43,126,41,38,9,1,3,23,3,14,19,6,0
Hannah Becerra,Cal State Fullerton,,0.302,0.465,0.525,0.99,59,162,49,49,12,0,8,2,6,44,0,0,0
Ashton Vanhouse,Winthrop,,0.302,0.343,0.341,0.684,55,129,22,39,3,1,0,10,0,8,21,22,0
Caitlyn Rogers,Texas State,,0.302,0.421,0.525,0.946,53,139,24,42,6,2,7,34,8,22,31,0,1
Sarah Squillace,Samford,,0.302,0.385,0.335,0.72,53,179,37,54,6,0,0,11,4,21,19,6,2
Mikayla Carman,Cal State Northridge,,0.302,0.362,0.365,0.727,50,126,23,38,6,1,0,17,0,12,7,2,0
Bri Ellis,Auburn,,0.302,0.378,0.772,1.15,56,149,32,45,8,1,20,49,7,13,23,2,0
Bianca Barone,Northern Illinois,,0.302,0.382,0.422,0.804,41,116,13,35,5,0,3,15,3,12,15,7,2
Kennedy Thomas,California,,0.302,0.348,0.341,0.689,53,126,18,38,2,0,1,13,1,8,26,5,4
Lexi Johnson,Southeastern Louisiana,,0.302,0.341,0.562,0.903,56,169,33,51,13,5,7,38,0,12,20,11,0
Blaise Biringer,Arizona,,0.302,0.354,0.422,0.776,52,116,21,35,8,0,2,18,3,7,19,1,0
Dallis Goodnight,Alabama,,0.302,0.37,0.36,0.73,55,139,33,42,3,1,1,8,4,11,22,18,2
Kelsey White,Villanova,,0.302,0.419,0.384,0.803,46,86,3,26,4,0,1,14,1,17,27,0,0
Izzy Nieblas,Maine,,0.301,0.36,0.472,0.832,45,123,15,37,9,0,4,23,1,11,23,2,0
Paige Bedsworth,Drake,,0.301,0.347,0.387,0.734,44,93,12,28,6,1,0,19,2,5,13,2,0
Reili Gardner,Illinois State,,0.301,0.336,0.329,0.665,51,143,24,43,2,1,0,0,0,8,0,0,0
Ashley Wruble,Saint Francis (PA),,0.301,0.438,0.381,0.819,49,113,25,34,3,0,2,21,11,19,16,4,2
Maggie Kellner,Niagara,,0.301,0.344,0.423,0.767,40,123,9,37,15,0,0,0,0,8,0,0,0
Olyvia Smith,Saint Peter's,,0.301,0.326,0.355,0.681,55,183,25,55,8,1,0,13,1,6,17,10,1
Dakota Pitts,Saint Peter's,,0.301,0.339,0.431,0.77,55,153,22,46,12,1,2,28,5,6,17,2,2
Erykah Guerrero,UTSA,,0.301,0.353,0.528,0.881,45,123,19,37,4,0,8,22,1,10,38,0,0
Ava Bredwell,Nebraska,,0.301,0.347,0.441,0.788,47,93,25,28,3,2,2,15,0,7,16,2,0
Makenna Matthijs,UNC Greensboro,,0.301,0.346,0.575,0.921,57,193,49,58,14,3,11,41,0,14,25,0,0
Georgia Clark,LSU,,0.301,0.447,0.667,1.114,57,156,32,47,9,0,16,4,0,42,0,0,0
Abby Jones,Tulsa,,0.301,0.34,0.414,0.754,47,133,25,40,5,2,2,3,0,10,0,0,0
Leila Hurst,Army,,0.301,0.321,0.468,0.789,50,156,20,47,10,2,4,30,3,4,26,1,0
Mikayla Ramos,Iowa State,,0.301,0.387,0.627,1.014,55,166,36,50,10,1,14,53,6,21,27,1,1
Jessica Fehr,Evansville,,0.3,0.401,0.386,0.787,47,140,27,42,12,0,0,16,1,24,30,6,2
Jordyn Hutchins,Boise State,,0.3,0.4,0.644,1.044,41,90,27,27,5,1,8,31,0,15,20,3,1
Shayna Espy,Kansas,,0.3,0.389,0.343,0.732,48,140,24,42,4,1,0,0,0,21,0,0,0
Courtney Day,Texas,,0.3,0.385,0.654,1.039,58,130,21,39,10,0,12,34,3,15,24,1,0
Deija Russell,Grambling,,0.3,0.336,0.369,0.705,43,130,23,39,5,2,0,19,0,8,23,6,1
Sophia Maras,Iowa,,0.3,0.408,0.36,0.768,45,100,19,30,6,0,0,1,1,18,0,0,0
Zoie Smith,Bucknell,,0.3,0.366,0.422,0.788,34,90,4,27,8,0,1,11,0,10,6,0,0
Brianna Alston,Mississippi Valley State,,0.3,0.347,0.318,0.665,37,110,14,33,0,1,0,8,1,7,10,7,4
Kayla McGory,North Florida,,0.3,0.393,0.514,0.907,49,140,29,42,10,1,6,30,4,18,10,10,1
Lauren Love,Marshall,,0.3,0.374,0.508,0.882,45,120,26,36,10,0,5,33,3,13,10,1,0
Annie Tokarek,Indiana State,,0.3,0.348,0.531,0.879,48,130,10,39,9,0,7,24,0,10,24,0,1
Bobbi Aguirre,UC San Diego,,0.3,0.424,0.38,0.804,56,150,19,45,3,0,3,19,5,28,17,0,0
Emma Austin,Southern Illinois,,0.3,0.391,0.325,0.716,39,80,19,24,0,1,0,8,0,12,18,7,1
Lily Fischer,Murray State,,0.3,0.435,0.473,0.908,59,150,25,45,10,2,4,2,24,14,0,0,0
Sabrina Vargas,Siena,,0.299,0.391,0.351,0.742,55,134,24,40,1,0,2,21,10,11,14,5,2
Aaliyah Jenkins,Nevada,,0.299,0.393,0.653,1.046,51,144,31,43,10,1,13,46,3,20,39,18,5
Sara Olson,Long Beach State,,0.299,0.361,0.361,0.722,49,144,30,43,5,2,0,20,4,10,19,12,3
Savannah Jones,Georgetown,,0.299,0.368,0.53,0.898,43,134,32,40,7,0,8,22,5,11,24,3,1
Crist Hanna,Cornell,,0.299,0.414,0.598,1.012,40,107,23,32,3,1,9,21,2,19,18,9,1
Maranda Gutierrez,DePaul,,0.299,0.458,0.471,0.929,53,157,46,47,11,2,4,3,15,31,0,0,0
Baie Ensio,Belmont,,0.299,0.342,0.321,0.663,51,137,31,41,3,0,0,0,3,9,0,0,0
McKayla Cothran,Samford,,0.299,0.353,0.355,0.708,41,107,20,32,4,1,0,5,1,8,17,10,0
Loren Hudson,Norfolk State,,0.299,0.355,0.454,0.809,48,97,6,29,3,0,4,19,2,7,10,0,0
Merritt Cahoon,Samford,,0.299,0.341,0.402,0.743,41,127,8,38,7,0,2,20,1,7,8,2,0
Mia Parker,George Washington,,0.299,0.39,0.481,0.871,53,154,21,46,13,0,5,27,4,19,20,0,0
Jaylon Davis,Mississippi Valley State,,0.299,0.365,0.483,0.848,35,87,15,26,6,2,2,3,2,7,8,11,0
Taylor Strain,Baylor,,0.299,0.323,0.385,0.708,45,117,17,35,7,0,1,21,0,5,23,4,1
Sarah McKeveny,Bryant,,0.299,0.357,0.368,0.725,37,87,6,26,3,0,1,13,1,8,22,0,0
Paige Dimler,Arizona,,0.299,0.362,0.583,0.945,48,127,24,38,4,1,10,25,4,9,29,0,0
Camryn Middlebrook,Stephen F. Austin,,0.299,0.41,0.413,0.823,56,167,37,50,9,2,2,1,11,23,0,0,0
Kari Holzrichter,Jacksonville,,0.299,0.367,0.448,0.815,36,87,9,26,7,0,2,20,1,9,21,1,0
Elizabeth Warwick,Southern Illinois,,0.299,0.404,0.526,0.93,46,137,25,41,10,0,7,39,4,20,30,5,2
Alyssa Cacini,Dayton,,0.298,0.36,0.496,0.856,46,141,26,42,5,1,7,28,1,15,37,3,1
Bella Wiggins,UAB,,0.298,0.354,0.383,0.737,47,141,24,42,7,1,1,16,6,8,16,3,5
Kelsey Bennett,Virginia Tech,,0.298,0.354,0.453,0.807,54,161,16,48,8,1,5,29,1,13,25,1,1
Maddie Schmidt,UNLV,,0.298,0.394,0.36,0.754,57,161,37,48,0,5,0,11,2,24,35,11,2
Kendall Lee,Memphis,,0.298,0.35,0.39,0.74,53,141,8,42,7,0,2,27,0,13,21,0,1
Keely Dubois,Northwestern State,,0.298,0.331,0.497,0.828,51,161,18,48,8,0,8,38,1,9,27,0,0
Melissa Holzopfel,Cleveland State,,0.298,0.345,0.394,0.739,43,104,15,31,5,1,1,0,0,8,0,0,0
Taylor Ebbs,Kentucky,,0.298,0.366,0.618,0.984,55,131,21,39,10,1,10,30,0,14,16,0,0
Amanda Cooper,Rider,,0.298,0.355,0.347,0.702,44,124,27,37,1,1,1,12,2,10,30,2,2
Abby Wingo,Seton Hall,,0.298,0.353,0.454,0.807,43,141,26,42,13,3,1,18,2,10,16,3,2
Yrral Davis,Norfolk State,,0.298,0.407,0.43,0.837,54,121,21,36,9,2,1,28,10,15,13,11,1
Kelli Godin,UCLA,,0.298,0.31,0.339,0.649,61,124,33,37,3,1,0,0,0,8,0,0,0
