player,team,position,batting_average,obp,slugging_percentage,ops,games_played,at_bats,runs,hits,doubles,triples,homeruns,rbi,hit_by_pitch,walks,strikeouts,stolen_bases,caught_stealing
Jameson Kavel,Duke,,0.379,0.431,0.776,1.207,55,174,59,66,16,1,17,49,1,17,16,15,1
Danieca Coffey,LSU,,0.379,0.457,0.474,0.931,57,190,44,72,9,3,1,1,1,27,0,0,0
Miah McDonald,Marist,,0.379,0.44,0.621,1.061,54,161,37,61,10,4,7,47,2,18,29,24,1
Grace Gressly,Dayton,,0.379,0.469,0.442,0.911,39,95,4,36,6,0,0,19,2,15,14,0,0
Sofia Morales,UNLV,,0.378,0.414,0.423,0.837,57,156,40,59,3,2,0,18,0,11,11,6,3
Andreya Flores,Fairleigh Dickinson,,0.378,0.444,0.566,1.01,47,143,10,54,9,0,6,30,7,11,6,2,0
Samaria Jackson,Arkansas-Pine Bluff,,0.377,0.419,0.736,1.155,40,106,23,40,5,3,9,21,0,9,17,1,0
Annalia Paoli,Ohio,,0.377,0.446,0.678,1.124,48,146,34,55,5,3,11,39,1,18,16,8,2
Mia Scott,Texas,,0.377,0.443,0.554,0.997,64,204,62,77,14,5,4,38,0,25,29,26,2
Faith Hoe,Weber State,,0.377,0.443,0.532,0.975,50,154,45,58,12,3,2,41,3,20,28,6,0
Gabrielle Callaway,Rutgers,,0.377,0.472,0.649,1.121,55,154,39,58,10,1,10,47,12,21,21,13,1
Jessi Alcala,Cal State Fullerton,,0.377,0.41,0.596,1.006,54,151,26,57,12,0,7,0,4,7,0,0,0
Mack Leonard,Florida State,,0.377,0.473,0.611,1.084,60,175,31,66,15,1,8,2,1,31,0,0,0
Logan Morris,NC State,,0.377,0.484,0.688,1.172,55,154,34,58,9,0,13,44,7,26,16,3,0
Marlaina Bozek,George Mason,,0.377,0.485,0.449,0.934,50,138,25,52,8,1,0,23,4,25,21,11,5
Sam Hackenbracht,Ohio State,,0.377,0.444,0.755,1.199,53,159,33,60,12,0,16,4,3,16,0,0,0
Jillian Taylor,New Mexico State,,0.376,0.448,0.616,1.064,46,125,38,47,9,0,7,24,3,14,25,10,1
Ellessa Bonstrom,Utah,,0.376,0.503,0.709,1.212,52,141,43,53,10,2,11,44,10,31,18,11,2
Alycia Flores,Boise State,,0.375,0.413,0.588,1.001,47,136,34,51,8,0,7,34,5,8,9,2,0
Elise Ontiveros,Montana,,0.375,0.457,0.525,0.982,38,80,17,30,5,2,1,20,7,6,11,5,0
Shea Clements,Dixie State,,0.374,0.424,0.594,1.018,50,155,34,58,4,0,10,37,4,10,20,17,0
Hannah Gammill,Arkansas,,0.374,0.513,0.781,1.294,59,155,50,58,9,0,18,0,20,24,0,0,0
Cana Davis,Florida Gulf Coast,,0.374,0.45,0.763,1.213,50,139,25,52,11,2,13,44,3,17,24,0,1
Greta LEsperance,Bowling Green,,0.374,0.427,0.426,0.853,55,190,42,71,5,1,1,6,0,19,30,32,4
Alyssa Costello,Stony Brook,,0.373,0.418,0.578,0.996,36,102,27,38,9,0,4,28,2,6,24,7,1
Abby Stuart,Columbia,,0.373,0.426,0.585,1.011,38,118,18,44,4,0,7,21,1,10,22,1,0
Mya Dodge,Northern Iowa,,0.373,0.441,0.706,1.147,46,153,43,57,8,2,13,34,1,21,27,21,5
Taylor Hill,Seton Hall,,0.373,0.404,0.612,1.016,42,134,26,50,15,1,5,36,3,6,30,2,1
Alyssa Vasquez,Howard,,0.373,0.41,0.609,1.019,53,161,30,60,17,0,7,47,1,10,10,3,0
Daphne Plummer,Missouri State,,0.373,0.407,0.447,0.854,48,161,32,60,6,3,0,8,3,7,12,29,4
Mya Felder,Nebraska,,0.373,0.407,0.503,0.91,50,161,24,60,9,0,4,37,0,10,15,1,0
Haley Denning,Utah,,0.373,0.391,0.414,0.805,50,169,40,63,3,2,0,11,1,4,19,24,4
Tuli Iosefa,Norfolk State,,0.372,0.488,0.682,1.17,48,129,25,48,7,0,11,46,5,25,20,0,0
Amy Vetula,Lipscomb,,0.372,0.447,0.445,0.892,51,164,40,61,8,2,0,15,1,22,20,9,8
Isabella Henning,Indiana State,,0.372,0.431,0.608,1.039,49,148,28,55,12,1,7,40,1,16,20,1,1
Naomi Hernandez,Long Beach State,,0.371,0.494,0.457,0.951,50,140,25,52,6,0,2,26,6,30,23,1,0
Jasmine Perezchica,Arizona,,0.371,0.402,0.394,0.796,59,170,43,63,2,1,0,13,0,9,27,10,3
Kristi DiMeo,Drexel,,0.371,0.464,0.603,1.067,46,151,27,56,12,1,7,34,6,22,8,1,2
Alexa Langeliers,Louisiana,,0.37,0.477,0.782,1.259,47,119,38,44,6,2,13,42,3,25,17,5,0
Kayt Houston,Appalachian State,,0.37,0.442,0.641,1.083,55,181,46,67,10,0,13,42,2,22,24,7,0
Allyson Riches,Alabama A&M,,0.37,0.44,0.49,0.93,38,100,18,37,10,1,0,23,1,13,13,0,1
Amanda Gonzalez,Louisiana Tech,,0.37,0.467,0.624,1.091,59,165,36,61,10,4,8,32,19,11,29,9,0
Jordyn Rudd,Northwestern,,0.37,0.442,0.584,1.026,58,173,31,64,11,1,8,52,8,19,9,1,0
Georgia Blair,Loyola Marymount,,0.37,0.446,0.593,1.039,50,135,20,50,12,0,6,32,2,18,26,3,0
Tata Davis,Southern Miss,,0.37,0.389,0.575,0.964,52,181,37,67,11,1,8,41,3,4,14,2,0
Leea Hanks,Notre Dame,,0.37,0.429,0.613,1.042,52,173,53,64,14,5,6,2,5,13,0,0,0
Maddie Hayden,Louisiana,,0.369,0.407,0.469,0.876,53,160,38,59,9,2,1,28,1,10,10,28,6
Hannah Adams,Florida,,0.369,0.45,0.5,0.95,55,168,40,62,11,1,3,27,4,24,18,15,2
Lauren Johnson,Kentucky,,0.369,0.416,0.598,1.014,56,179,53,66,9,4,8,39,1,15,23,11,0
Saige Alfaro,Canisius,,0.369,0.399,0.433,0.832,49,141,27,52,5,2,0,18,0,7,25,12,1
Kayla Bowen,New Mexico State,,0.369,0.42,0.656,1.076,51,160,35,59,13,0,11,41,3,11,32,3,1
Calie Burris,Abilene Christian,,0.369,0.517,0.623,1.14,51,130,19,48,13,1,6,26,7,34,25,1,0
Carlie Scupin,Arizona,,0.369,0.433,0.765,1.198,61,179,36,66,14,0,19,59,7,14,29,0,0
Kristina Burkhardt,Michigan,,0.369,0.433,0.583,1.016,56,187,41,69,20,7,2,32,3,18,18,15,3
Kelsey Lalor,Boise State,,0.368,0.429,0.724,1.153,50,152,39,56,15,0,13,46,4,12,25,2,0
Mary Katherine Tedder,Samford,,0.368,0.481,0.652,1.133,53,155,33,57,19,2,7,41,1,33,20,2,0
Alyssa Brito,Oklahoma,,0.368,0.453,0.743,1.196,61,136,46,50,7,1,14,3,4,18,0,0,0
Ciara Briggs,LSU,,0.368,0.431,0.468,0.899,57,190,53,70,7,3,2,2,0,24,0,0,0
Jil Poullard,McNeese,,0.367,0.5,0.64,1.14,56,150,44,55,12,4,7,45,9,37,17,19,4
Katelyn Whiting,Weber State,,0.367,0.465,0.408,0.873,50,120,37,44,5,0,0,10,2,20,29,5,1
Ryleigh Mata,Incarnate Word,,0.367,0.403,0.438,0.841,51,169,33,62,8,2,0,13,0,11,6,3,2
Izzy Eltze,Omaha,,0.367,0.394,0.671,1.065,46,158,38,58,9,6,9,29,5,4,14,10,2
Linnah Rebolledo,Utah Valley,,0.367,0.442,0.554,0.996,51,166,50,61,13,0,6,39,3,20,14,14,3
Allie Skaggs,Arizona,,0.367,0.462,0.797,1.259,61,177,48,65,4,0,24,58,3,30,29,1,0
Lauryn Gross,Alabama A&M,,0.366,0.491,0.452,0.943,31,93,29,34,4,2,0,12,3,20,9,21,2
Allie Englant,Ohio,,0.366,0.434,0.523,0.957,44,153,35,56,12,3,2,18,3,17,11,27,4
Carley Barjaktarovich,Lehigh,,0.366,0.416,0.366,0.782,50,164,36,60,0,0,0,4,0,14,15,23,4
Alexa Williams,George Washington,,0.366,0.416,0.671,1.087,50,161,43,59,11,1,12,55,1,14,4,6,1
Mia Davidson,Mississippi State,,0.366,0.545,0.854,1.399,64,164,49,60,11,0,23,45,22,45,31,0,1
Tiffany Giese,Green Bay,,0.366,0.433,0.429,0.862,50,161,36,59,8,1,0,15,2,17,25,25,2
Saige Pye,Marshall,,0.366,0.452,0.795,1.247,53,161,40,59,9,0,20,51,5,21,25,0,0
Rheanne Lewis,Idaho State,,0.366,0.384,0.515,0.899,52,194,49,71,11,3,4,0,5,2,0,0,0
Destini Brown,Southern Miss,,0.366,0.475,0.615,1.09,52,161,49,59,6,5,8,27,3,32,23,29,2
Tiffany Domingue,USC Upstate,,0.365,0.428,0.593,1.021,56,167,46,61,10,2,8,43,2,17,16,8,0
Laney Roos,Northwestern State,,0.365,0.431,0.547,0.978,51,159,31,58,11,0,6,32,4,16,11,0,1
Angel Jasso,Syracuse,,0.365,0.428,0.628,1.056,46,137,30,50,15,3,5,32,7,11,11,21,5
Cori McMillan,Radford,,0.365,0.41,0.736,1.146,48,148,38,54,13,0,14,2,2,10,0,0,0
Peyton Toto,Cal State Fullerton,,0.365,0.429,0.511,0.94,47,137,26,50,8,0,4,1,9,8,0,0,0
Cam Ybarra,Nebraska,,0.365,0.404,0.646,1.05,52,178,37,65,14,3,10,39,0,13,9,1,0
Jillian Herbst,Colgate,,0.365,0.41,0.509,0.919,48,159,35,58,9,4,2,20,2,11,18,1,0
Chloe Camarero,Weber State,,0.364,0.438,0.688,1.126,50,154,40,56,11,3,11,40,4,17,10,9,5
Hanna Delgado,Oregon,,0.364,0.467,0.487,0.954,52,154,41,56,8,1,3,24,6,24,16,16,4
Abbie Squier,Nebraska,,0.364,0.44,0.552,0.992,57,165,44,60,10,0,7,24,9,15,20,5,1
Shannon Stein,Central Michigan,,0.364,0.419,0.775,1.194,52,173,38,63,20,0,17,47,1,16,17,0,0
Bre Roper,Ole Miss,,0.364,0.465,0.523,0.988,60,176,39,64,14,1,4,37,0,37,26,10,1
Jayda Kearney,Georgia,,0.364,0.446,0.703,1.149,60,165,42,60,7,2,15,56,3,24,22,10,3
Jackie Masone,Drexel,,0.364,0.458,0.597,1.055,40,129,37,47,9,0,7,25,1,22,18,4,0
Camryn McLemore,Jacksonville State,,0.363,0.446,0.637,1.083,44,113,24,41,8,1,7,19,2,15,15,1,1
Macy Johnson,Drake,,0.363,0.463,0.489,0.952,45,135,40,49,7,2,2,21,3,22,14,23,0
Grace Stansfield,Rider,,0.363,0.415,0.404,0.819,54,171,27,62,7,0,0,27,3,13,12,2,0
Jess DeWitt,Fairleigh Dickinson,,0.363,0.392,0.606,0.998,48,160,32,58,12,0,9,31,1,8,16,1,0
Sydney Poole,Loyola Marymount,,0.363,0.422,0.411,0.833,54,168,46,61,3,1,1,8,0,17,37,27,5
Alessandra Ponce,George Washington,,0.363,0.419,0.536,0.955,53,168,23,61,17,0,4,35,3,14,13,2,0
Riley Plogger,Northern Colorado,,0.363,0.429,0.52,0.949,51,171,38,62,9,3,4,3,2,18,0,0,0
Rylie Hamilton,Southern Illinois,,0.363,0.414,0.541,0.955,46,157,38,57,3,2,7,36,0,15,24,2,1
